term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type,abs_estimate
panelist.abv_preference,,,,,,,0,slope,
panelist.adventurousness,,,,,,,0,slope,
panelist.beer_style_affinity.ipa,,,,,,,0,slope,
panelist.beer_style_affinity.lager,,,,,,,0,slope,
panelist.beer_style_affinity.sour,,,,,,,0,slope,
panelist.beer_style_affinity.stout,,,,,,,0,slope,
panelist.beer_style_affinity.wheat,,,,,,,0,slope,
panelist.bitterness_tolerance,,,,,,,0,slope,
panelist.price_sensitivity,,,,,,,0,slope,
panelist.sweetness_preference,,,,,,,0,slope,
product.abv,,,,,,,0,slope,
product.color_srm,,,,,,,0,slope,
product.flavor_profile.acidity,,,,,,,0,slope,
product.flavor_profile.aroma_intensity,,,,,,,0,slope,
product.flavor_profile.bitterness,,,,,,,0,slope,
product.flavor_profile.body,,,,,,,0,slope,
product.flavor_profile.sweetness,,,,,,,0,slope,
product.ibu,,,,,,,0,slope,
panelist.age_group_30-39,,,,,,,0,slope,
panelist.age_group_40-49,,,,,,,0,slope,
