column,reason
product.style_Sour,duplicate
product.style_Saison,duplicate
product.style_Wheat,duplicate
product.style_Porter,duplicate
panelist.income_bracket_30-60k,duplicate
product.ingredients.barrel_aged,rank_deficient
product.ingredients.citrus_hops,rank_deficient
product.ingredients.fruit_added,rank_deficient
product.ingredients.lactose,rank_deficient
product.ingredients.roasted_malt,rank_deficient
product.price_usd_6pack,rank_deficient
panelist_id_p0011,rank_deficient
panelist_id_p0012,rank_deficient
panelist_id_p0013,rank_deficient
panelist_id_p0014,rank_deficient
panelist_id_p0015,rank_deficient
panelist_id_p0016,rank_deficient
panelist_id_p0017,rank_deficient
panelist_id_p0018,rank_deficient
panelist_id_p0019,rank_deficient
panelist_id_p0020,rank_deficient
product_id_prod_0002,rank_deficient
product_id_prod_0003,rank_deficient
product_id_prod_0004,rank_deficient
product_id_prod_0005,rank_deficient
product_id_prod_0006,rank_deficient
product_id_prod_0007,rank_deficient
product_id_prod_0009,rank_deficient
product_id_prod_0010,rank_deficient
panelist.age_group_30-39,rank_deficient
panelist.age_group_40-49,rank_deficient
panelist.age_group_50-64,rank_deficient
panelist.age_group_65+,rank_deficient
panelist.gender_male,rank_deficient
panelist.gender_nonbinary,rank_deficient
panelist.gender_prefer_not_say,rank_deficient
panelist.income_bracket_150k+,rank_deficient
panelist.income_bracket_60-100k,rank_deficient
panelist.income_bracket_<30k,rank_deficient
panelist.region_Northeast,rank_deficient
panelist.region_South,rank_deficient
panelist.region_West,rank_deficient
product.style_Pilsner,rank_deficient
product.style_Stout,rank_deficient
