term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type
product.ibu,0.06165539280744575,186830.50032282842,3.3000710644627123e-07,0.9999997366924248,-366180.9901909498,366181.11350173544,,slope
product.flavor_profile.bitterness,0.2891968502191767,9696810.985874606,2.982391330927778e-08,0.99999997620396,-19005400.008009713,19005400.58640341,,slope
product.color_srm,-0.0031488495181936174,163667.96734575773,-1.923925352809873e-08,0.9999999846492966,-320783.32456941233,320783.3182717133,,slope
product.flavor_profile.sweetness,0.06515742810514658,4423782.276249625,1.4728895781097405e-08,0.9999999882480415,-8670453.871738456,8670454.002053313,,slope
panelist.abv_preference,-2.7571478903985085,,,,,,,slope
panelist.adventurousness,-1.1586478772594178,,,,,,,slope
panelist.beer_style_affinity.ipa,3.9686874347600853,,,,,,,slope
panelist.beer_style_affinity.lager,-0.8283643805577309,,,,,,,slope
panelist.beer_style_affinity.sour,1.637510165149928,,,,,,,slope
panelist.beer_style_affinity.stout,0.24568389537072635,,,,,,,slope
panelist.beer_style_affinity.wheat,-0.931196218435314,,,,,,,slope
panelist.bitterness_tolerance,0.5309976609113218,,,,,,,slope
panelist.price_sensitivity,-1.6986734876257843,,,,,,,slope
panelist.sweetness_preference,0.8586368542701395,,,,,,,slope
product.abv,0.7248359575502212,,,,,,,slope
product.flavor_profile.acidity,-1.7661998307655093,,,,,,,slope
product.flavor_profile.aroma_intensity,-0.1849310443013769,,,,,,,slope
product.flavor_profile.body,0.17193363317467755,,,,,,,slope
panelist.age_group_30-39,0.6142983805070823,,,,,,,slope
panelist.age_group_40-49,-0.7249494313857676,,,,,,,slope
panelist.age_group_50-64,-1.8008354636674935,,,,,,,slope
panelist.age_group_65+,1.5916420582735997,,,,,,,slope
panelist.gender_male,-0.9330178401512915,,,,,,,slope
panelist.gender_nonbinary,-1.972758436200258,,,,,,,slope
panelist.gender_prefer_not_say,1.5884196389082044,,,,,,,slope
panelist.income_bracket_150k+,0.6467348707896547,,,,,,,slope
panelist.region_Northeast,1.3287097777088284,,,,,,,slope
